Timestamp:2024-08-07 06:36:50.04 +0000 UTC, Content:msg.sendUserOutgoingMessageV2 - error: rpc error: code = Code(400) desc = INPUT_USER_DEACTIVATED, Caller:core/msg.sendMessageV2_handler.go:120, Level:error, Trace:5cb82987cb93922900eed9d036fa865b
Timestamp:2024-08-07 06:36:50.04 +0000 UTC, Content:msg.sendMessageV2 - error: rpc error: code = Code(400) desc = INPUT_USER_DEACTIVATED, Caller:core/msg.sendMessageV2_handler.go:57, Level:error, Trace:5cb82987cb93922900eed9d036fa865b
Timestamp:2024-08-07 06:36:52.444 +0000 UTC, Content:msg.sendUserOutgoingMessageV2 - error: rpc error: code = Code(400) desc = INPUT_USER_DEACTIVATED, Caller:core/msg.sendMessageV2_handler.go:120, Level:error, Trace:545a3aa5b4d04b3d034395a1de8e3ac8
Timestamp:2024-08-07 06:36:52.445 +0000 UTC, Content:msg.sendMessageV2 - error: rpc error: code = Code(400) desc = INPUT_USER_DEACTIVATED, Caller:core/msg.sendMessageV2_handler.go:57, Level:error, Trace:545a3aa5b4d04b3d034395a1de8e3ac8
Timestamp:2024-08-07 06:39:10.265 +0000 UTC, Content:msg.sendUserOutgoingMessageV2 - error: rpc error: code = Code(400) desc = INPUT_USER_DEACTIVATED, Caller:core/msg.sendMessageV2_handler.go:120, Level:error, Trace:b9cc30bb5595763cdc2dcfe90b7740fb
Timestamp:2024-08-07 06:39:10.265 +0000 UTC, Content:msg.sendMessageV2 - error: rpc error: code = Code(400) desc = INPUT_USER_DEACTIVATED, Caller:core/msg.sendMessageV2_handler.go:57, Level:error, Trace:b9cc30bb5595763cdc2dcfe90b7740fb
Timestamp:2024-08-07 06:39:11.353 +0000 UTC, Content:msg.sendUserOutgoingMessageV2 - error: rpc error: code = Code(400) desc = INPUT_USER_DEACTIVATED, Caller:core/msg.sendMessageV2_handler.go:120, Level:error, Trace:3cbb0d7041dc5423e833a73831c9ee25
Timestamp:2024-08-07 06:39:11.353 +0000 UTC, Content:msg.sendMessageV2 - error: rpc error: code = Code(400) desc = INPUT_USER_DEACTIVATED, Caller:core/msg.sendMessageV2_handler.go:57, Level:error, Trace:3cbb0d7041dc5423e833a73831c9ee25
Timestamp:2024-08-07 06:39:11.888 +0000 UTC, Content:msg.sendUserOutgoingMessageV2 - error: rpc error: code = Code(400) desc = INPUT_USER_DEACTIVATED, Caller:core/msg.sendMessageV2_handler.go:120, Level:error, Trace:bd85f17661eb0102fb453006bb5851d0
Timestamp:2024-08-07 06:39:11.888 +0000 UTC, Content:msg.sendMessageV2 - error: rpc error: code = Code(400) desc = INPUT_USER_DEACTIVATED, Caller:core/msg.sendMessageV2_handler.go:57, Level:error, Trace:bd85f17661eb0102fb453006bb5851d0
Timestamp:2024-08-07 06:39:17.212 +0000 UTC, Content:msg.sendUserOutgoingMessageV2 - error: rpc error: code = Code(400) desc = INPUT_USER_DEACTIVATED, Caller:core/msg.sendMessageV2_handler.go:120, Level:error, Trace:90903c2ce7ac1377b30a58d69311b6ad
Timestamp:2024-08-07 06:39:17.212 +0000 UTC, Content:msg.sendMessageV2 - error: rpc error: code = Code(400) desc = INPUT_USER_DEACTIVATED, Caller:core/msg.sendMessageV2_handler.go:57, Level:error, Trace:90903c2ce7ac1377b30a58d69311b6ad
Timestamp:2024-08-07 06:39:48.282 +0000 UTC, Content:msg.sendUserOutgoingMessageV2 - error: rpc error: code = Code(400) desc = INPUT_USER_DEACTIVATED, Caller:core/msg.sendMessageV2_handler.go:120, Level:error, Trace:88d98e1a21df7390440cb8d64be09152
Timestamp:2024-08-07 06:39:48.282 +0000 UTC, Content:msg.sendMessageV2 - error: rpc error: code = Code(400) desc = INPUT_USER_DEACTIVATED, Caller:core/msg.sendMessageV2_handler.go:57, Level:error, Trace:88d98e1a21df7390440cb8d64be09152
Timestamp:2024-08-07 06:39:52.586 +0000 UTC, Content:msg.sendUserOutgoingMessageV2 - error: rpc error: code = Code(400) desc = INPUT_USER_DEACTIVATED, Caller:core/msg.sendMessageV2_handler.go:120, Level:error, Trace:bf1b135234e53d3d492f2e969ece188b
Timestamp:2024-08-07 06:39:52.586 +0000 UTC, Content:msg.sendMessageV2 - error: rpc error: code = Code(400) desc = INPUT_USER_DEACTIVATED, Caller:core/msg.sendMessageV2_handler.go:57, Level:error, Trace:bf1b135234e53d3d492f2e969ece188b
Timestamp:2024-08-07 06:39:58.914 +0000 UTC, Content:msg.sendUserOutgoingMessageV2 - error: rpc error: code = Code(400) desc = INPUT_USER_DEACTIVATED, Caller:core/msg.sendMessageV2_handler.go:120, Level:error, Trace:49fd23dc515bec30fb9b5ce933dcd4ee
Timestamp:2024-08-07 06:39:58.914 +0000 UTC, Content:msg.sendMessageV2 - error: rpc error: code = Code(400) desc = INPUT_USER_DEACTIVATED, Caller:core/msg.sendMessageV2_handler.go:57, Level:error, Trace:49fd23dc515bec30fb9b5ce933dcd4ee
Timestamp:2024-08-07 06:40:11.466 +0000 UTC, Content:msg.sendUserOutgoingMessageV2 - error: rpc error: code = Code(400) desc = INPUT_USER_DEACTIVATED, Caller:core/msg.sendMessageV2_handler.go:120, Level:error, Trace:59726a435b84377b7d39f1f4edd65740
Timestamp:2024-08-07 06:40:11.466 +0000 UTC, Content:msg.sendMessageV2 - error: rpc error: code = Code(400) desc = INPUT_USER_DEACTIVATED, Caller:core/msg.sendMessageV2_handler.go:57, Level:error, Trace:59726a435b84377b7d39f1f4edd65740
Timestamp:2024-08-07 06:40:12.408 +0000 UTC, Content:msg.sendUserOutgoingMessageV2 - error: rpc error: code = Code(400) desc = INPUT_USER_DEACTIVATED, Caller:core/msg.sendMessageV2_handler.go:120, Level:error, Trace:689b962c574070c395231543bab40bd1
Timestamp:2024-08-07 06:40:12.409 +0000 UTC, Content:msg.sendMessageV2 - error: rpc error: code = Code(400) desc = INPUT_USER_DEACTIVATED, Caller:core/msg.sendMessageV2_handler.go:57, Level:error, Trace:689b962c574070c395231543bab40bd1
Timestamp:2024-08-07 06:40:13.349 +0000 UTC, Content:msg.sendUserOutgoingMessageV2 - error: rpc error: code = Code(400) desc = INPUT_USER_DEACTIVATED, Caller:core/msg.sendMessageV2_handler.go:120, Level:error, Trace:8aeb1a57412248e224d6e1a3e8263826
