Timestamp:2024-08-07 07:38:33.617 +0000 UTC, Content:msg.sendUserOutgoingMessageV2 - error: rpc error: code = Code(400) desc = INPUT_USER_DEACTIVATED, Caller:core/msg.sendMessageV2_handler.go:120, Level:error, Trace:2cc6c48d8e9c162155a45bbc7910436b
Timestamp:2024-08-07 07:38:33.617 +0000 UTC, Content:msg.sendMessageV2 - error: rpc error: code = Code(400) desc = INPUT_USER_DEACTIVATED, Caller:core/msg.sendMessageV2_handler.go:57, Level:error, Trace:2cc6c48d8e9c162155a45bbc7910436b
Timestamp:2024-08-07 07:38:35.61 +0000 UTC, Content:msg.sendUserOutgoingMessageV2 - error: rpc error: code = Code(400) desc = INPUT_USER_DEACTIVATED, Caller:core/msg.sendMessageV2_handler.go:120, Level:error, Trace:b7576c3cfc8a3ff2c133de734d88e407
Timestamp:2024-08-07 07:38:35.61 +0000 UTC, Content:msg.sendMessageV2 - error: rpc error: code = Code(400) desc = INPUT_USER_DEACTIVATED, Caller:core/msg.sendMessageV2_handler.go:57, Level:error, Trace:b7576c3cfc8a3ff2c133de734d88e407
Timestamp:2024-08-07 07:38:37.206 +0000 UTC, Content:msg.sendUserOutgoingMessageV2 - error: rpc error: code = Code(400) desc = INPUT_USER_DEACTIVATED, Caller:core/msg.sendMessageV2_handler.go:120, Level:error, Trace:e9f8799f5a0c936c2577b3b0f4e1ed21
Timestamp:2024-08-07 07:38:37.207 +0000 UTC, Content:msg.sendMessageV2 - error: rpc error: code = Code(400) desc = INPUT_USER_DEACTIVATED, Caller:core/msg.sendMessageV2_handler.go:57, Level:error, Trace:e9f8799f5a0c936c2577b3b0f4e1ed21
Timestamp:2024-08-07 07:39:58.72 +0000 UTC, Content:msg.sendUserOutgoingMessageV2 - error: rpc error: code = Code(400) desc = INPUT_USER_DEACTIVATED, Caller:core/msg.sendMessageV2_handler.go:120, Level:error, Trace:cc868f12f19f368cf6c5a83ff710a1dd
Timestamp:2024-08-07 07:39:58.72 +0000 UTC, Content:msg.sendMessageV2 - error: rpc error: code = Code(400) desc = INPUT_USER_DEACTIVATED, Caller:core/msg.sendMessageV2_handler.go:57, Level:error, Trace:cc868f12f19f368cf6c5a83ff710a1dd
Timestamp:2024-08-07 07:40:02.863 +0000 UTC, Content:msg.sendUserOutgoingMessageV2 - error: rpc error: code = Code(400) desc = INPUT_USER_DEACTIVATED, Caller:core/msg.sendMessageV2_handler.go:120, Level:error, Trace:3fbd3b0c7c2a13b8fc8f98275debd29b
Timestamp:2024-08-07 07:40:02.863 +0000 UTC, Content:msg.sendMessageV2 - error: rpc error: code = Code(400) desc = INPUT_USER_DEACTIVATED, Caller:core/msg.sendMessageV2_handler.go:57, Level:error, Trace:3fbd3b0c7c2a13b8fc8f98275debd29b
Timestamp:2024-08-07 07:40:55.851 +0000 UTC, Content:msg.sendUserOutgoingMessageV2 - error: rpc error: code = Code(400) desc = INPUT_USER_DEACTIVATED, Caller:core/msg.sendMessageV2_handler.go:120, Level:error, Trace:52054fe159020d391581dfe0874c6630
Timestamp:2024-08-07 07:40:55.851 +0000 UTC, Content:msg.sendMessageV2 - error: rpc error: code = Code(400) desc = INPUT_USER_DEACTIVATED, Caller:core/msg.sendMessageV2_handler.go:57, Level:error, Trace:52054fe159020d391581dfe0874c6630
