Timestamp:2024-08-07 07:44:01.291 +0000 UTC, Content:msg.sendUserOutgoingMessageV2 - error: rpc error: code = Code(400) desc = INPUT_USER_DEACTIVATED, Caller:core/msg.sendMessageV2_handler.go:120, Level:error, Trace:ac56330abe829bad5931cf07ec74f4f7
Timestamp:2024-08-07 07:44:01.291 +0000 UTC, Content:msg.sendMessageV2 - error: rpc error: code = Code(400) desc = INPUT_USER_DEACTIVATED, Caller:core/msg.sendMessageV2_handler.go:57, Level:error, Trace:ac56330abe829bad5931cf07ec74f4f7
Timestamp:2024-08-07 07:44:03.554 +0000 UTC, Content:msg.sendUserOutgoingMessageV2 - error: rpc error: code = Code(400) desc = INPUT_USER_DEACTIVATED, Caller:core/msg.sendMessageV2_handler.go:120, Level:error, Trace:0959adc65956eddbc39c9e27eded6c95
Timestamp:2024-08-07 07:44:03.554 +0000 UTC, Content:msg.sendMessageV2 - error: rpc error: code = Code(400) desc = INPUT_USER_DEACTIVATED, Caller:core/msg.sendMessageV2_handler.go:57, Level:error, Trace:0959adc65956eddbc39c9e27eded6c95
Timestamp:2024-08-07 07:44:06.274 +0000 UTC, Content:msg.sendUserOutgoingMessageV2 - error: rpc error: code = Code(400) desc = INPUT_USER_DEACTIVATED, Caller:core/msg.sendMessageV2_handler.go:120, Level:error, Trace:a44ed735d57619f2762bbb6a88a0bce6
Timestamp:2024-08-07 07:44:06.274 +0000 UTC, Content:msg.sendMessageV2 - error: rpc error: code = Code(400) desc = INPUT_USER_DEACTIVATED, Caller:core/msg.sendMessageV2_handler.go:57, Level:error, Trace:a44ed735d57619f2762bbb6a88a0bce6
Timestamp:2024-08-07 07:44:10.855 +0000 UTC, Content:msg.sendUserOutgoingMessageV2 - error: rpc error: code = Code(400) desc = INPUT_USER_DEACTIVATED, Caller:core/msg.sendMessageV2_handler.go:120, Level:error, Trace:db5c956f21bc56b9221529939e609f06
Timestamp:2024-08-07 07:44:10.855 +0000 UTC, Content:msg.sendMessageV2 - error: rpc error: code = Code(400) desc = INPUT_USER_DEACTIVATED, Caller:core/msg.sendMessageV2_handler.go:57, Level:error, Trace:db5c956f21bc56b9221529939e609f06
Timestamp:2024-08-07 07:44:13.824 +0000 UTC, Content:msg.sendUserOutgoingMessageV2 - error: rpc error: code = Code(400) desc = INPUT_USER_DEACTIVATED, Caller:core/msg.sendMessageV2_handler.go:120, Level:error, Trace:75f3919555c9a69897480f1db6edd1a0
Timestamp:2024-08-07 07:44:13.824 +0000 UTC, Content:msg.sendMessageV2 - error: rpc error: code = Code(400) desc = INPUT_USER_DEACTIVATED, Caller:core/msg.sendMessageV2_handler.go:57, Level:error, Trace:75f3919555c9a69897480f1db6edd1a0
Timestamp:2024-08-07 07:44:16.525 +0000 UTC, Content:msg.sendUserOutgoingMessageV2 - error: rpc error: code = Code(400) desc = INPUT_USER_DEACTIVATED, Caller:core/msg.sendMessageV2_handler.go:120, Level:error, Trace:f82ac6f4eb4f9b9df3902af1fc85b793
Timestamp:2024-08-07 07:44:16.525 +0000 UTC, Content:msg.sendMessageV2 - error: rpc error: code = Code(400) desc = INPUT_USER_DEACTIVATED, Caller:core/msg.sendMessageV2_handler.go:57, Level:error, Trace:f82ac6f4eb4f9b9df3902af1fc85b793
Timestamp:2024-08-07 07:44:21.815 +0000 UTC, Content:msg.sendUserOutgoingMessageV2 - error: rpc error: code = Code(400) desc = INPUT_USER_DEACTIVATED, Caller:core/msg.sendMessageV2_handler.go:120, Level:error, Trace:325fb251a5d7c5d016785d26b2b1394f
Timestamp:2024-08-07 07:44:21.815 +0000 UTC, Content:msg.sendMessageV2 - error: rpc error: code = Code(400) desc = INPUT_USER_DEACTIVATED, Caller:core/msg.sendMessageV2_handler.go:57, Level:error, Trace:325fb251a5d7c5d016785d26b2b1394f
Timestamp:2024-08-07 07:44:26.149 +0000 UTC, Content:msg.sendUserOutgoingMessageV2 - error: rpc error: code = Code(400) desc = INPUT_USER_DEACTIVATED, Caller:core/msg.sendMessageV2_handler.go:120, Level:error, Trace:b97dd121bc78a5f6935a251dc450c46f
Timestamp:2024-08-07 07:44:26.149 +0000 UTC, Content:msg.sendMessageV2 - error: rpc error: code = Code(400) desc = INPUT_USER_DEACTIVATED, Caller:core/msg.sendMessageV2_handler.go:57, Level:error, Trace:b97dd121bc78a5f6935a251dc450c46f
